UID,CSQ,IMEI,CCID,VGSM,SLEEP CURRENT,CHARGING CURRENT,CHARGE STATUS,CHARGER,ACCELEROMETER ID,ACCELEROMETER TYPE,S/N,VCMU,INPUT CURRENT
36571, 31, 86486605434323, 8991450900625796307, 4.110 V, 48.34 uA, 117.188 mA,  CHARGING,  CONNECTED,51,ST, 0968, 3.24 V, 1.64 mA,
36570, 31, 86486605433046, 8991450900625796307, 4.080 V, 43.95 uA, 234.375 mA,  CHARGING,  CONNECTED,51,ST, 0967, 3.25 V, 1.68 mA,
36569, 30, 86486605433791, 8991450900625796307, 4.129 V, 45.41 uA, 234.375 mA,  CHARGING,  CONNECTED,51,ST, 0966, 3.24 V, 1.57 mA,
36568, 31, 86486605434191, 8991450900625796307, 4.099 V, 43.95 uA, 146.484 mA,  CHARGING,  CONNECTED,51,ST, 0965, 3.25 V, 1.72 mA,
36567, 31, 86486605434097, 8991450900625796307, 4.059 V, 42.48 uA, 131.836 mA,  CHARGING,  CONNECTED,51,ST, 0964, 3.25 V, 1.69 mA,
36566, 29, 86486605433681, 8991450900625796307, 4.119 V, 43.95 uA, 190.430 mA,  CHARGING,  CONNECTED,51,ST, 0963, 3.25 V, 1.57 mA,
36565, 31, 86486605434299, 8991450900625796307, 4.118 V, 46.88 uA, 117.188 mA,  CHARGING,  CONNECTED,51,ST, 0961, 3.25 V, 1.55 mA,
36564, 30, 86486605434101, 8991450900625796307, 4.080 V, 48.34 uA, 424.805 mA,  CHARGING,  CONNECTED,51,ST, 0962, 3.25 V, 1.70 mA,
36589, 22, 86486605389685, 8991450900625796307, 4.175 V, 43.95 uA, 263.672 mA,  CHARGING,  CONNECTED,51,ST, 0986, 3.25 V, 1.78 mA,
36588, 31, 86486605433837, 8991450900625796307, 4.107 V, 45.41 uA, 117.188 mA,  CHARGING,  CONNECTED,51,ST, 0985, 3.25 V, 1.69 mA,
36587, 31, 86486605433604, 8991450900625796307, 4.096 V, 43.95 uA, 73.242 mA,  CHARGING,  CONNECTED,51,ST, 0984, 3.27 V, 1.63 mA,
36586, 31, 86486605433512, 8991450900625796307, 4.096 V, 42.48 uA, 73.242 mA,  CHARGING,  CONNECTED,51,ST, 0983, 3.25 V, 1.75 mA,
36585, 29, 86486605433702, 8991450900625796307, 4.176 V, 45.41 uA, 117.188 mA,  CHARGING,  CONNECTED,51,ST, 0982, 3.25 V, 1.66 mA,
36584, 31, 86486605433166, 8991450900625796307, 4.077 V, 45.41 uA, 161.133 mA,  CHARGING,  CONNECTED,51,ST, 0981, 3.25 V, 1.65 mA,
