Sensel Telematics Private Limited -BLR 2018-19,,,,,,
113-1 3RD FLOOR B BLOCK,,,,,,
SRIT HOUSE KUNDANAHALLI,,,,,,
ITPL MAIN RAOD BANGALORE 560037,,,,,,
Group: Sundry Debtors,,,,,,
,,,,,,
1-Apr-2021 to 31-Mar-2022,,,,,,
,,,,,,
Ledger:,3Ajit Singh,1-Apr-2021 to 31-Mar-2022,,,,
Date,Particulars,,Vch Type,Vch No.,Debit,Credit
4/1/2021,Cr,Opening Balance,,,4958.00,
,,,,,,
Ledger:,3GEOMETRE INNOVATIONS PVT LTD,1-Apr-2021 to 31-Mar-2022,,,,
Date,Particulars,,Vch Type,Vch No.,Debit,Credit
7/23/2021,Dr,SBI OD AC 38852796022,Receipt,4693425162098,,4720.00
8/4/2021,Cr,Sales 18% Igst,Sensales,2021-22/SLB/1054,4720.00,
4720.00,,,,,,4720.00
,,,,,,
Ledger:,A1 TRAVELS,1-Apr-2021 to 31-Mar-2022,,,,
Date,Particulars,,Vch Type,Vch No.,Debit,Credit
12/30/2021,Dr,IBIBO GROUP PVT LTd OPERATORS,Journal,735,,500.00
,,,,,,500.00
,Cr,Closing Balance,500.00,,,
500.00,,,,,,500.00
,,,,,,
Ledger:,AADHUNIK TECHNOLOGIES,1-Apr-2021 to 31-Mar-2022,,,,
Date,Particulars,,Vch Type,Vch No.,Debit,Credit
4/1/2021,Cr,Opening Balance,,,4139.00,
5/10/2021,Cr,Sales 18% Gst,Sales Service,2021-22/SR/230,6157.00,
5/10/2021,Dr,WRITTENOF,Journal,80,,4139.00
5/12/2021,Dr,SBI OD AC 38852796022,Receipt,MAB000756992584,,6157.00
7/19/2021,Cr,Sales 18% Gst,Sales Service,2021-22/SR/686,9236.00,
7/19/2021,Dr,SBI OD AC 38852796022,Receipt,MAA000820493675,,9236.00
9/3/2021,Dr,SBI OD AC 38852796022,Receipt,MAC000824053947,,3079.00
9/3/2021,Cr,Sales 18% Gst,Sales Service,2021-22/SR/1784,3079.00,
12/7/2021,Dr,SBI OD AC 38852796022,Receipt,MAF000023052419,,9236.00
12/7/2021,Cr,Sales 18% Gst,Sales Service,2021-22/SR/2903,3079.00,
12/7/2021,Cr,Sales 18% Gst,Sales Service,2021-22/SR/2904,6157.00,
2/19/2022,Cr,Sale Service 18% Gst,Sales Service,2021-22/SR/3514,6157.00,
2/22/2022,Dr,SBI OD AC 38852796022,Receipt,MAA000977456638,,6157.00
3/31/2022,Cr,Sales 18% Gst,Sales Service,2021-22/SR/4075,3079.00,
3/31/2022,Dr,SBI OD AC 38852796022,Receipt,MAD000084556744,,3079.00
41083.00,,,,,,41083.00
,,,,,,
Ledger:,AAG ROAD LINES HPCL,1-Apr-2021 to 31-Mar-2022,,,,
Date,Particulars,,Vch Type,Vch No.,Debit,Credit
11/30/2021,Cr,Sales 18% Igst,Sales Service,21-22/SR/2834,1830.00,
11/30/2021,Cr,Sales 18% Igst,Sales Service,21-22/SR/2837,1830.00,
12/2/2021,Dr,SBI OD AC 38852796022,Receipt,4693389162097,,3660.00
3660.00,,,,,,3660.00
