CustomerName,LasPayRecieved,LasBilRaise,CreditBalance,TotHWbill,TotSWbill,LasHW_bildate,avgBillamt,avgBillTout,avgBill:Tout,Totdebitamt,debitTout,TotDebit:debTout,CrntDebitamt,CrntTout,CrntDebitamt:CrntTout,debitFreq,creditFreq,dbtfreq:crdtfreq
3Ajit Singh,,,0,0,4958.0,,0,0,0,0,0,0,-4958.0,0,0,,,
3GEOMETRE INNOVATIONS PVT LTD,4720.00,4720.00,0,4720.0,0,8/4/2021,0,0,0,0,0,0,0,0,0,,,
A1 TRAVELS,,,0,0,0,12/30/2021,0,0,0,0,0,0,0,0,0,,,
AADHUNIK TECHNOLOGIES,3079.00,3079.00,0,0,41083.0,5/10/2021,6157,0,0,0,0,0,-4139.0,0,0,quaterly,quaterly,quaterly:quaterly
AAG ROAD LINES HPCL,3660.00,1830.00,0,0,3660.0,,0,0,0,0,0,0,0,0,0,,,
Aakash Travels20573,,3481.00,3481.0,3481.0,0,1/4/2022,0,3481.0,0,3481.0,3481.0,1:1,3481.0,3481.0,1:1,,,
AaRa Travels19984,,3481.00,3481.0,3481.0,0,9/23/2021,0,3481.0,0,3481.0,3481.0,1:1,3481.0,3481.0,1:1,,,
A A TRANSPORTS HPCL,1830.00,1830.00,0,0,1830.0,,0,0,0,0,0,0,0,0,0,,,
ABDUL HAMEED,,,1923.0,0,2872.0,,0,1923.0,0,2872.0,1923.0,1:1,2872.0,1923.0,1:1,,,
Abhi,5900.00,2407.00,12.0,3505.0,5912.0,12/2/2021,0,12.0,0,5912.0,12.0,493:1,5912.0,12.0,493:1,,,
Abhi Travels,3500.00,3481.00,0,3481.0,3481.0,3/30/2022,0,0,0,0,0,0,0,0,0,,,
AB Holidays And Adventures Pvt Ltd,,5782.00,5782.0,5782.0,5782.0,8/21/2021,0,5782.0,0,5782.0,5782.0,1:1,5782.0,5782.0,1:1,,,
ABIRAMI TRANSPORT HPCL,1830.00,2135.00,0,0,3965.0,,1982,0,0,0,0,0,0,0,0,Monthly,Monthly,Monthly:Monthly
ACE DESIGNERS LIMITED,2360.00,2360.00,0,10030.0,2360.0,11/26/2021,6195,0,0,0,0,0,0,0,0,quaterly,Monthly,quaterly:Monthly
ACHIIEVERS FINANCE INDIA PVT LTD,6750.00,2266.00,0,4484.0,2266.0,9/29/2021,3375,0,0,0,0,0,0,0,0,Monthly,,
ACME Services,15000.00,2832.00,141695.0,0,320202.0,,31125,39368,1:1,320202.0,141695.0,2:1,217875.0,141695.0,2:1,Monthly,Monthly,Monthly:Monthly
ADANI TOTAL GAS LIMITED 06,10328.00,1770.00,128079.0,0,324082.0,,40510,128079.0,1:3,324082.0,128079.0,3:1,324082.0,128079.0,3:1,Monthly,quaterly,Monthly:quaterly
ADANI TOTAL GAS LIMITED 08,2784.00,708.00,53217.4,0,126845.0,,15855,53217.4,1:3,126845.0,53217.4,2:1,126845.0,53217.4,2:1,Monthly,quaterly,Monthly:quaterly
ADANI TOTAL GAS LIMITED 09,1114.00,3186.00,32441.0,0,66092.0,,9441,32441.0,1:3,66092.0,32441.0,2:1,66092.0,32441.0,2:1,Monthly,Monthly,Monthly:Monthly
ADANI TOTAL GAS LIMITED 23,1856.00,1888.00,7712.0,0,16992.0,,2124,7712.0,1:4,16992.0,7712.0,2:1,16992.0,7712.0,2:1,Monthly,quaterly,Monthly:quaterly
ADANI TOTAL GAS LIMITED-24,23631.00,6372.00,269334.0,0,676321.0,,84540,269334.0,1:3,676321.0,269334.0,3:1,676321.0,269334.0,3:1,Monthly,quaterly,Monthly:quaterly
ADANI TOTAL GAS LIMITED 29,,480.00,480.0,0,480.0,,0,480.0,0,480.0,480.0,1:1,480.0,480.0,1:1,,,
ADDAX BIOENERGY,,,0,0,57060.0,,0,0,0,0,0,0,-57060.0,0,0,,,
ADITEYA GAS AGENCY,,,0,0,743.0,,0,0,0,0,0,0,-743.0,0,0,,,
Aditya Logistics 23345,,3481.00,3481.0,3481.0,0,3/8/2022,0,3481.0,0,3481.0,3481.0,1:1,3481.0,3481.0,1:1,,,
ADNAN ROOFINGS,,,0,0,14809.0,,0,0,0,0,0,0,-14809.0,0,0,,,
ADTC Tours and Travels,,3009.00,3009.0,3009.0,3009.0,3/31/2022,0,3009.0,0,3009.0,3009.0,1:1,3009.0,3009.0,1:1,,,
Agrawal Roadlines private limited,107459.00,107380.00,345161.0,0,1480113.0,,113488,226914,1:2,1480113.0,345161.0,4:1,1361866.0,345161.0,4:1,Monthly,quaterly,Monthly:quaterly
AGS ROADWAYS HPCL,1830.00,1830.00,0,0,1830.0,,0,0,0,0,0,0,0,0,0,,,
Air Bus Travels20636,,,0,0,170.0,,0,0,0,0,0,0,-170.0,0,0,,,
AISWARIYA AGENCIES,,,0,0,743.0,,0,0,0,0,0,0,-743.0,0,0,,,
AIZA ROADLINES,,,18005.0,0,18005.0,,1286,3858,1:3,18005.0,18005.0,1:1,3858.0,18005.0,1:5,Monthly,,
AJITH BULK CARRIER IOCL 11004081,,,0,0,70.84,,0,0,0,0,0,0,-70.84,0,0,,,
Ajit Transport21795,2000.00,3000.00,0,3000.0,0,3/15/2022,0,0,0,0,0,0,0,0,0,,,
A K Indane Gas Service,,,0,0,1288.0,,0,0,0,0,0,0,-1288.0,0,0,,,
AKRY ORGANICS PRIVATE LIMITED,,,0,0,5428.0,,0,0,0,0,0,0,-5428.0,0,0,,,
Alacrity Technologies Private Limited,,,0,0,7151.0,,0,0,0,0,0,0,-7151.0,0,0,,,
Alcon Consulting Engineers PVT Ltd,,,9261.0,0,9261.0,,0,9261.0,0,9261.0,9261.0,1:1,9261.0,9261.0,1:1,,,
ALPHA CABS PRIVATE LIMITED,,,0,0,282329.0,,0,0,0,0,0,0,-282329.0,0,0,,,
AMARA RAJA BATTERIES LIMITED,,169920.00,17301.23,0,187221.23,,0,0,0,187221.23,17301.23,11:1,169920.0,17301.23,10:1,,,
Amarnath Transport,,,0,0,0,4/8/2021,0,0,0,0,0,0,0,0,0,,,
Amar Travels 6067,,3481.00,3481.0,3481.0,3481.0,9/30/2021,0,3481.0,0,3481.0,3481.0,1:1,3481.0,3481.0,1:1,,,
Amb Travels,39440.00,13275.00,43643.0,89208.0,161553.0,1/24/2022,18166,-7285,-2:1,250761.0,43643.0,6:1,199833.0,43643.0,5:1,Monthly,halfyearly,Monthly:halfyearly
